產品名稱	核心成分與特性	解決痛點	適合膚質
精華			
OLAY 水感透白光曜精華 (小白瓶)	菸鹼醯胺(B3)+革糖素：阻斷糖化反應，提升透亮度。	蠟黃暗沈、膚色不均、糖化發黃。	一般肌、混合肌、油性肌。
巴黎萊雅 淨亮白MELA淡斑精華	Melasyl™+菸鹼醯胺：專利淡斑成份，精準瓦解黑色素。	頑固色斑、痘印、膚色暗沈。	追求高效美白者、熟齡肌。
妮維雅 LUMINOUS630 淡斑煥白精華	Luminous 630 專利成份：從根源抑制黑色素，不傷肌膚。	曬斑、孕斑、長期色素沈澱。	所有膚質（含敏弱肌可試）。
雪芙蘭 積雪草水潤凝霜	積雪草(CICA)+玻尿酸：舒緩穩定，快速補水清爽不膩。	肌膚泛紅、乾燥脫屑、曬後受損。	敏弱肌、油性肌、混合肌。
肌研 極潤多效精華水感凝露	四重玻尿酸：結合化妝水/精華/乳液多效合一，滲透力強。	缺水、保養懶人包（一瓶搞定）。	乾性肌、一般肌。
NARUKO 茶樹痘印美白寶	茶樹精油+3%傳明酸：消炎殺菌同時淡化紅色痘印。	現有粉刺痘痘、剛形成的紅痘印。	油痘肌、易長粉刺肌。
巴黎萊雅 紫熨斗MAX (撫紋精華霜)	普拉斯鏈(Pro-Xylane)：抗老王牌，促進膠原蛋白修護。	眼角細紋、抬頭紋、法令紋、鬆弛。	熟齡肌、有抗初老需求者。
舒特膚 舒新雪潤B5修護精華	維他命B5+神經醯胺：強化屏障，深度修護受損基底。	屏障受損、紅腫發癢、極度乾燥。	醫美術後、敏弱肌、乾癢肌。
SKINTIFIC 神經醯胺保濕霜	5X神經醯胺+海洋膠原：模擬皮膚結構，鎖水修護。	皮膚薄、換季敏感、外油內乾。	屏障受損肌、油性肌(清爽版)。
露得清 水活保濕菸鹼醯胺精華	高純度菸鹼醯胺+玻尿酸：細緻毛孔，維持油水平衡。	毛孔粗大、出油過度、膚質粗糙。	油性肌、混合肌。
dermaAngel 1% A醇微晶精華	A醇(Retinol)+微囊技術：加速代謝，細緻膚質。	暗沈、毛孔肥大、細紋、角質堆積。	想嘗試 A 醇的新手、混合肌。
Melano CC 維他命C淡斑精華	活性維他命C+E：抗氧化、提亮，預防黑色素沉澱。	新鮮痘疤、膚色不均、暗沈。	適合局部使用，所有膚質。
PUR%CENT 2%多重玻尿酸精華	2%複合玻尿酸	皮膚乾燥、脫皮、妝前不貼妝	所有膚質、乾肌
OLAY 水感透白光曜精華 50ml	革糖素、高純度B3	蠟黃暗沉、糖化反應、膚色不均	熬夜肌、蠟黃肌
德美醫研 原生粉嫩維他命B12精華	維他命B12、粉嫩修護配方	疲憊暗沉、膚色蒼白無光	敏感肌、暗沉肌
OLAY 滋潤保濕霜 100g	經典保濕、礦物油脂	基礎補水、防止水分流失	中性肌、乾性肌
Melano CC 維他命C全效精華	高純度維他命C、E衍生物	痘印、毛孔粗大、局部斑點	混合肌、油痘肌
PUR%CENT 3%傳明酸淨白精華	3%傳明酸	曬斑、色素沉澱、膚色暗淡	暗沉肌、想提亮者
專科 水潤保濕超微米瞬效精華	雙重玻尿酸、玄米油、蜂蜜	深度缺水、粗糙、細紋	乾燥肌、疲勞肌
LANCOME 蘭蔻 超極限肌因賦活露	益生菌萃取、酵母精華	穩定期、細紋、膚質粗糙	全膚質（含敏感肌）
肌研 極潤完美多效美白凝露	傳明酸、維他命C、玻尿酸	懶人美白、一瓶完成多步驟	混合肌、油性肌
露得清 肌緻新生A醇精華	高濃度A醇 (Retinol)	毛孔粗大、皺紋、皮膚鬆弛	想要高階抗老者
防曬			
Biore 含水防曬系列 (水凝乳/水凝露)	Biore 含水防曬系列 (水凝乳/水凝露)	質地厚重黏膩、防曬不均勻	全膚質 (尤其怕油膩者)
曼秀雷敦 水潤肌柔光透亮	薰衣草紫/玫瑰粉色調、細微光澤粒子	膚色蠟黃、暗沈、無氣色	蠟黃肌/暗沈肌 (妝前飾底用)
雪芙蘭 純物理溫和防曬	氧化鋅 (ZnO)、二氧化鈦 (TiO₂)、無酒精	醫美術後或敏感肌對化學防曬不適	敏感肌/幼童
ALLIE 持采系列	抗摩擦技術 (Friction Proof)、海洋友善配方	流汗或摩擦導致防曬脫落、環境污染隱憂	戶外運動/海邊活動
妮維雅 全護清爽系列	專利防曬技術、舒緩配方、無香料	阻隔長波 UVA 防止曬老	敏感肌/混合肌
專科 全效防曬系列	蠶絲蛋白精華、雙重玻尿酸、玄米油	防曬後肌膚乾澀、緊繃	乾肌/混合偏乾
L`EGERE 安瓶防曬系列	三胜肽、維他命 B3 (菸鹼醯胺)	單純防曬不夠，想兼顧保養抗老	熟齡肌/想美白者
DHC 金靚白水感防曬	輔酶 Q10、橄欖精華、水感透明質地	怕傳統高係數防曬的厚重油膩感、防曬同時抗氧化	乾性至混合肌
凡士林 5D 極護水感防曬	凡士林修護微晶凍、5D 分層防護技術	戶外活動皮膚易曬乾、曬紅，大容量身體防曬需求	一般肌膚、預算小資族
ALLIE 持采舒爽柔肌 (60g)	吸脂抗汗粉體、抗摩擦技術	夏天出油導致的臉部黏膩、口罩導致的脫妝	油性肌、戶外運動者
ALLIE 持采濾鏡 (杏桃茜妍)	校色粉體(杏桃色)、玻尿酸、控油技術	膚色蒼白或不均，想要單擦防曬就能改善氣色	膚色不均、追求偽素顏者
Biore 控油隔離乳液	皮脂吸收粉末、高係數防曬科技	T字部位容易脫妝、毛孔粗大	極油肌、需長效持妝者
SKINTIFIC 啞光防曬霜	積雪草、透明質酸、Matte-Finish 技術	塗完防曬滿臉油光、影響後續上妝	油性肌、痘痘肌
碧歐斯 超能煥白極光防曬	熊果素、山茶花萃取、光感美白精華	擔心曬黑後留下黑色素沉澱	有美白/淡斑需求者
